AX,AY,AZ,GX,GY,GZ
0.102295,1.000732,0.042969,-22.206106,11.709924,2.839695
0.112305,1.027588,-0.013428,-28.038168,12.946565,3.748092
0.10791,1.036865,-0.079102,-38.816795,13.206107,2.900763
0.144287,0.951416,0.001221,13.870229,36.412212,7.152672
0.134521,1.024658,-0.13501,53.931297,13.702291,15.0
0.17041,1.065918,-0.179199,-19.816793,24.595419,9.167939
0.157227,1.026855,-0.096436,-13.969465,33.503819,4.61832
0.152588,1.03833,-0.096191,-23.396946,24.664122,7.587786
0.160156,1.027832,-0.055664,-22.152672,22.106871,5.755725
0.171875,1.001709,-0.016113,-48.870228,9.412213,0.267176
0.167236,0.969238,-0.043945,-50.64122,3.122137,0.114504
0.171387,0.937988,-0.112305,-49.786259,-9.763359,1.29771
0.168457,0.93042,-0.085693,-55.984734,-7.480916,-0.854962
0.171631,0.900146,-0.078125,-43.106869,-5.89313,-3.671756
0.171143,0.910645,-0.088623,-29.152672,-1.946565,-7.679389
0.174072,0.908447,-0.042236,-17.282442,0.618321,-8.122137
0.181641,0.896729,-0.025391,-5.38168,2.244275,-8.969465
0.187012,0.895752,0.031982,6.969466,3.587786,-8.664123
0.185059,0.957275,-0.00415,-28.312977,-13.854961,-10.442748
0.228027,0.911377,0.112793,-102.343513,-12.21374,-10.152672
0.185791,0.84668,0.108887,-60.160305,-16.213741,-11.19084
0.163574,0.902588,0.077637,-39.38168,-8.206107,-9.59542
0.169434,0.877197,0.039551,-78.755722,-10.175572,-14.694656
0.124756,0.852783,0.085938,-56.374046,6.343512,-19.687023
0.089355,0.828125,0.095703,-52.557251,-0.625954,-15.21374
0.065918,0.806641,0.126953,-66.702293,2.015267,-14.122137
0.035156,0.753906,0.158203,-66.763359,-0.70229,-11.442748
0.03125,0.732666,0.177734,-67.213737,-4.290076,-3.763359
0.045898,0.716553,0.177246,-73.0,-5.832061,-0.816794
0.040283,0.703857,0.216797,-81.404579,-1.725191,-3.450382
0.013916,0.692627,0.253906,-79.290077,2.236641,-3.847328
0.001221,0.717285,0.342285,-83.290077,-1.70229,-1.305344
-0.013184,0.712402,0.449951,-97.419846,-8.519084,4.755725
-0.073975,0.726562,0.470947,-76.450378,-18.427481,5.648855
-0.055908,0.789795,0.525146,-45.061069,-29.12977,19.839695
-0.008789,0.798828,0.541504,-48.65649,-44.763359,13.435115
0.042969,0.753662,0.535156,-50.67939,-56.862595,8.21374
0.087402,0.744873,0.591553,-39.908398,-47.717556,2.80916
0.124268,0.700928,0.592529,-29.641222,-44.832062,0.503817
0.122314,0.695801,0.621826,-45.38168,-82.877861,5.053435
0.166748,0.724365,0.646729,-38.32061,-93.755722,18.312977
0.199707,0.749268,0.701904,-40.961834,-97.702293,28.305344
0.219482,0.837402,0.806152,-41.290077,-80.740456,37.145039
0.168457,0.911621,0.738037,-67.305344,-71.351143,32.167938
0.195557,0.895264,0.684082,-81.198471,-35.549618,26.633587
0.189941,0.871582,0.68335,-108.068703,-22.80916,21.51145
0.175537,0.830078,0.616943,-130.977097,-16.312977,15.221375
0.177734,0.734619,0.615479,-137.70993,-7.931298,11.328244
0.193604,0.672363,0.614014,-135.07634,-0.679389,13.862596
0.201416,0.654053,0.608887,-136.015274,7.015267,16.48855
0.265381,0.503662,0.739014,-15.656488,83.618324,16.282442
0.258301,0.631836,0.696045,-88.64122,41.458015,11.160305
0.161133,0.579346,0.643799,-94.916031,48.839695,11.755725
0.153076,0.548828,0.632812,-82.709923,50.786259,14.748092
0.150391,0.546631,0.610107,-83.969467,57.145039,12.923664
0.168213,0.506348,0.608398,-79.687019,56.946564,7.068702
0.159424,0.516602,0.617676,-82.458015,57.061069,0.80916
0.158447,0.524902,0.613281,-86.053436,54.854961,-2.328244
0.137451,0.592773,0.63208,-94.259544,72.847328,-20.877863
0.115234,0.507568,0.621338,-97.595421,76.312981,-29.259542
0.098877,0.43335,0.662598,-94.595421,78.770996,-34.206108
0.123047,0.409668,0.712158,-92.96183,78.625954,-36.526718
0.117432,0.411621,0.753906,-101.71756,74.473282,-32.076336
0.0979,0.487061,0.71582,-112.702293,79.412216,-34.061069
0.056641,0.514648,0.708008,-116.435112,85.984734,-35.167938
0.026611,0.520996,0.688721,-115.67939,86.152672,-37.35878
0.024414,0.504639,0.727295,-112.374046,85.625954,-39.206108
0.012939,0.485596,0.783691,-116.847328,80.816795,-40.114502
0.02124,0.416748,0.833984,-126.96183,69.297707,-37.625954
0.034668,0.382568,0.843018,-137.0,59.305344,-32.984734
0.032959,0.398926,0.870117,-136.465652,50.404579,-29.267176
0.049316,0.401123,0.881836,-129.725189,41.916031,-24.206106
0.046875,0.385986,0.856445,-121.374046,33.938931,-24.656488
0.013916,0.391357,0.824219,-112.809158,25.236641,-26.969465
-0.018066,0.337891,0.8396,-113.656487,27.671755,-31.007633
-0.063721,0.331543,0.874023,-126.801529,36.580154,-36.633587
-0.082764,0.236572,0.94458,-127.67939,50.938931,-35.267174
-0.10791,0.256592,1.031006,-136.312973,68.847328,-43.824429
-0.122314,0.269531,1.04126,-132.908401,76.503815,-46.916031
-0.124756,0.279785,1.121338,-145.35878,73.351143,-47.213741
-0.146484,0.29541,1.184082,-169.015274,65.244278,-41.854961
-0.224854,0.270264,1.193604,-175.992371,60.778625,-36.534351
-0.293701,0.237305,1.250732,-157.7939,61.167938,-32.450382
-0.35083,0.210449,1.272705,-143.221375,60.236641,-35.648853
-0.35498,0.152588,1.227783,-144.801529,59.488548,-38.67939
-0.349121,0.109863,1.266602,-165.022903,60.35878,-40.877861
-0.352295,0.084473,1.307129,-198.969467,53.625954,-40.687023
-0.364014,0.080322,1.31958,-235.557251,31.312977,-34.938931
-0.324707,-0.037598,1.347656,-170.748093,73.137405,-27.992367
-0.416504,0.010986,1.233154,-115.450378,48.450382,-27.755726
-0.47583,-0.104248,1.134033,-126.938934,63.549618,-23.412214
-0.475342,-0.325439,1.104736,-123.687019,55.885498,-17.458015
-0.402832,-0.590088,1.169678,-119.061066,40.465649,-11.793893
-0.338867,-0.834229,1.163574,-144.267181,20.824427,-2.862595
-0.367676,-0.74292,1.156494,-89.381676,23.61832,-1.954198
-0.436035,-0.651611,1.134277,-87.854965,-5.801527,-16.068703
-0.435547,-0.497559,1.158203,-138.541992,-15.633588,-26.786259
-0.427002,-0.458496,1.140625,-85.290077,-33.709923,-41.244274
-0.415039,-0.45166,1.173584,-81.076332,-39.587788,-51.564884
-0.432617,-0.475098,1.18042,-78.114502,-44.984734,-53.389313
-0.397217,-0.531494,1.325439,-12.992367,-62.251907,-48.221375
-0.37085,-0.581787,1.551514,12.40458,-69.267174,-46.083969
-0.331543,-0.585449,1.606934,14.251908,-68.091606,-51.099236
-0.285645,-0.679443,1.505615,-39.503819,-77.427483,-25.877863
-0.261719,-0.597412,1.563721,-64.35878,-58.809162,-2.29771
-0.301514,-0.501465,1.682373,-37.007633,-79.450378,-2.801527
-0.191895,-0.465332,1.516846,-48.908398,-80.748093,-0.320611
-0.154541,-0.511963,1.349609,-109.206108,-78.045799,12.343512
-0.197998,-0.453857,1.303711,-37.015266,-47.839695,-6.076336
-0.158691,-0.480469,1.205811,-15.129771,-29.335878,-11.824428
-0.160156,-0.455322,1.100342,-22.167938,0.366412,-13.839695
-0.175293,-0.476318,1.046631,-30.908398,22.931297,-11.496183
-0.208496,-0.485596,1.01709,-33.183205,38.992367,-12.610687
-0.229492,-0.485596,0.910156,-30.664122,50.946564,-16.427481
-0.239746,-0.51709,0.852051,-34.870228,56.236641,-16.717558
-0.241455,-0.573242,0.86084,-34.427483,50.282444,-14.511451
-0.231201,-0.531982,0.991943,-33.923664,31.442749,-12.908397
-0.248291,-0.501465,1.101807,-31.572519,9.312977,-11.885496
-0.271973,-0.475098,1.097168,-21.671755,-12.778625,-8.129771
-0.258789,-0.444824,1.099609,-6.122138,-20.923664,-6.519084
-0.243652,-0.405273,1.101562,-4.305344,-20.312977,-8.259542
-0.201416,-0.372314,1.097168,-16.091602,-4.80916,-6.374046
-0.170654,-0.365967,1.115723,-27.450382,13.473283,-6.603054
-0.19751,-0.308838,1.199463,-6.267176,18.748091,-8.549619
-0.132568,-0.248779,1.250977,-4.305344,21.847328,-3.435115
-0.168213,-0.255615,1.255859,-13.274809,27.648855,-8.709924
-0.178467,-0.233154,1.254883,3.290076,30.022902,-2.946565
-0.165527,-0.201172,1.224365,-2.320611,25.083969,1.496183
-0.165527,-0.20459,1.160889,-7.503817,17.969465,0.916031
-0.162598,-0.224854,1.078613,-12.152672,7.167939,0.427481
-0.152344,-0.209229,1.032227,-21.328245,-0.755725,1.564885
-0.126221,-0.245605,1.044434,-26.442749,-10.206107,0.832061
-0.079102,-0.209717,1.023926,-31.137405,-16.671755,10.015267
-0.094727,-0.242188,0.985596,-28.862595,-22.938931,2.374046
-0.106445,-0.272705,0.964111,-24.755726,-22.954199,-0.763359
-0.117188,-0.270752,0.935059,-20.343512,-19.435114,-0.687023
-0.094482,-0.287109,0.924805,-18.167938,-16.603054,-3.206107
-0.083984,-0.31665,0.951904,-17.389313,-12.80916,-3.847328
-0.081543,-0.313721,0.971191,-16.290077,-8.59542,-4.412214
-0.087402,-0.311768,1.004883,-15.21374,-2.442748,-4.877862
-0.09375,-0.298584,1.022705,-14.297709,4.557252,-5.08397
-0.109619,-0.318115,1.031738,-18.587786,8.801527,-6.526718
-0.115479,-0.347412,1.055908,-25.12977,8.740458,-6.961832
-0.099609,-0.349854,1.083984,-31.099237,5.78626,-5.175572
-0.093262,-0.369385,1.111084,-42.419846,2.335878,-4.755725
-0.131836,-0.351562,1.157471,-36.519085,-3.671756,-2.748092
-0.148926,-0.369629,1.165771,-32.206108,-6.801527,-0.89313
-0.163086,-0.395996,1.15625,-17.877863,-11.564885,3.977099
-0.161133,-0.38916,1.161133,1.183206,-16.137405,16.282442
-0.171143,-0.423584,1.151611,8.442748,-16.877863,14.259542
-0.168701,-0.401855,1.131104,16.244274,-12.931297,12.656488
-0.178711,-0.392822,1.155762,17.557251,-5.725191,7.358778
-0.198242,-0.374268,1.180176,16.312977,-2.183206,7.38168
